"","Age_e","season","r","Heat","Fluids","Steroid","NSAID","Antibiotic","G_O","Sex_e","predicted_disposition"
"205","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"206","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"207","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"208","adult-like","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.433719772251276
"209","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"210","adult-like","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365239223366758
"211","Nestling","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.693932320749468
"212","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"213","Nestling","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.693932320749468
"214","adult-like","Summer","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.410293052273632
"215","adult-like","Summer","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.410293052273632
"216","Nestling","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.693932320749468
"217","Nestling","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.693932320749468
"218","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"219","Nestling","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656905435403332
"220","Nestling","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656905435403332
"221","Nestling","Summer","found on the ground",1,0,0,0,0,"Selasphorus spp.","unknown",0.604927782044816
"222","Nestling","Summer","found on the ground",1,0,0,0,0,"Selasphorus spp.","unknown",0.604927782044816
"223","adult-like","Summer","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.410293052273632
"224","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"225","Nestling","Summer","found on the ground",1,0,0,0,0,"Selasphorus spp.","unknown",0.604927782044816
"226","adult-like","Summer","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.39652232349081
"227","Nestling","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656905435403332
"228","Nestling","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656905435403332
"229","Nestling","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.693932320749468
"230","adult-like","Summer","nest-related",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.405259458525898
"231","adult-like","Summer","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.410293052273632
"232","adult-like","Summer","found on the ground",1,0,1,0,0,"Non-selasphorus spp.","Female-like ",0.195026487035959
"233","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"234","Nestling","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656905435403332
"235","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"236","adult-like","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365239223366758
"237","Nestling","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656905435403332
"238","adult-like","Summer","found on the ground",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.315155545807751
"239","adult-like","Summer","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.410293052273632
"240","Nestling","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656891080710916
"241","Nestling","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.656891080710916
"242","adult-like","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365239223366758
"243","adult-like","Summer","window hit",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.464434170993276
"244","adult-like","Summer","found on the ground",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.315155545807751
"245","adult-like","Summer","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.39652232349081
"246","adult-like","Summer","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.39652232349081
"247","adult-like","Summer","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.39652232349081
"248","adult-like","Fall","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.181740272716446
"249","adult-like","Fall","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.181740272716446
"250","adult-like","Fall","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.181730801485928
"251","adult-like","Fall","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","Female-like ",0.226684403733016
